tipo,modulo,simbolo_contrato,assinatura_campos,linha,confianca,consumo_relacao
cli-command,forja_adversarial_audit.py,validate,"ledger, --source, --output",491,EXTRACTED,accepts_option
function,forja_adversarial_gate.py,_motivo,(dados: dict) -> str | None,42,EXTRACTED,defines
function,forja_adversarial_gate.py,_hashes_do_arquivo,(caminho) -> set,50,EXTRACTED,defines
function,forja_adversarial_gate.py,validar_auditoria_adversarial,"(auditoria, estrategia = <default>, caminho_auditoria = <default>)",62,EXTRACTED,defines
function,forja_adversarial_gate.py,validar_politica_liberacao,"(manifesto, gate_result = <default>)",224,EXTRACTED,defines
function,forja_alertas.py,_now,(),34,EXTRACTED,defines
function,forja_alertas.py,_now_iso,(),38,EXTRACTED,defines
function,forja_alertas.py,_registro_enviados,(case_dir: Path) -> Path,42,EXTRACTED,defines
function,forja_alertas.py,_pendentes,(case_dir: Path) -> Path,46,EXTRACTED,defines
function,forja_alertas.py,_ler_json,"(path: Path, fallback)",50,EXTRACTED,defines
function,forja_alertas.py,_dedup_ok,"(case_dir: Path, chave: str) -> bool",57,EXTRACTED,defines
function,forja_alertas.py,_marcar_enviado,"(case_dir: Path, chave: str)",69,EXTRACTED,defines
function,forja_alertas.py,_log_global,(evento: dict),78,EXTRACTED,defines
function,forja_alertas.py,_demand_id_do_caso,(case_dir: Path) -> str | None,84,EXTRACTED,defines
function,forja_alertas.py,_comentar_no_painel,"(demand_id: str, texto: str) -> bool",93,EXTRACTED,defines
function,forja_alertas.py,_emitir,"(case_dir: Path, evento: dict, chave_dedup: str) -> dict",136,EXTRACTED,defines
function,forja_alertas.py,notificar_p0,"(case_dir, gate: str, motivo: str, origem: str = <default>, demand_id: str | None = <default>) -> dict",167,EXTRACTED,defines
function,forja_alertas.py,notificar_resolucao,"(case_dir, gate: str, demand_id: str | None = <default>) -> dict",185,EXTRACTED,defines
function,forja_alertas.py,drenar_pendentes,(case_dir) -> dict,199,EXTRACTED,defines
function,forja_ar_architecture.py,automation_enabled,(config: dict) -> bool,81,EXTRACTED,defines
function,forja_ar_architecture.py,_semantic,(candidate: dict) -> dict,85,EXTRACTED,defines
function,forja_ar_architecture.py,_write_candidate,"(path: Path, candidate: dict) -> None",89,EXTRACTED,defines
function,forja_ar_architecture.py,validate_candidate,(candidate: dict) -> list[str],95,EXTRACTED,defines
function,forja_ar_architecture.py,validate_manifest,(manifest: dict) -> list[str],112,EXTRACTED,defines
function,forja_ar_architecture.py,create_candidate,"(candidate_id: str, *, title: str, problem: str, hypothesis: str, scope: list[str]) -> Path",136,EXTRACTED,defines
function,forja_ar_architecture.py,_run_pytest,"(targets: list[str], *, cwd: Path = <default>, timeout: int = <default>) -> dict",210,EXTRACTED,defines
function,forja_ar_architecture.py,_relevant_import_graph,"() -> dict[str, set[str]]",257,EXTRACTED,defines
function,forja_ar_architecture.py,_cycle_count,"(graph: dict[str, set[str]]) -> int",278,EXTRACTED,defines
function,forja_ar_architecture.py,_tracked_vault_leaks,(repo_root: Path | None = <default>) -> list[str],315,EXTRACTED,defines
function,forja_ar_architecture.py,_vault_ignore_failures,(repo_root: Path) -> list[str],333,EXTRACTED,defines
function,forja_ar_architecture.py,_rollback_rehearsal,(harness: Path) -> dict,353,EXTRACTED,defines
function,forja_ar_architecture.py,_overlay_candidate,"(worktree_harness: Path, snapshot: list[dict]) -> None",405,EXTRACTED,defines
function,forja_ar_architecture.py,evaluate_candidate,"(path: Path, *, review_path: Path) -> dict",422,EXTRACTED,defines
function,forja_ar_architecture.py,main,() -> None,543,EXTRACTED,defines
cli-command,forja_ar_architecture.py,<global>,,547,EXTRACTED,accepts_option
cli-command,forja_ar_architecture.py,create,"candidate_id, --title, --problem, --hypothesis, --scope",546,EXTRACTED,accepts_option
cli-command,forja_ar_architecture.py,evaluate,"candidate_id, --review",552,EXTRACTED,accepts_option
function,forja_ar_blind.py,canonicalize,(text: str) -> str,20,EXTRACTED,defines
function,forja_ar_blind.py,leak_scan,(text: str) -> list[str],44,EXTRACTED,defines
function,forja_ar_blind.py,_sha_bytes,(data: bytes) -> str,49,EXTRACTED,defines
function,forja_ar_blind.py,_sha_file,(path: Path) -> str,53,EXTRACTED,defines
function,forja_ar_blind.py,_canonical,(value) -> bytes,57,EXTRACTED,defines
function,forja_ar_blind.py,_mapping_path,(pair_id: str) -> Path,61,EXTRACTED,defines
function,forja_ar_blind.py,prepare,"(runpair_dir: Path, blind_dir: Path, pair_id: str, *, key: bytes | None = <default>) -> dict",68,EXTRACTED,defines
function,forja_ar_blind.py,_verify_mapping,"(mapping: dict, key: bytes) -> bool",125,EXTRACTED,defines
function,forja_ar_blind.py,_mapping_leaked,"(workspace: Path, mapping_sha: str, external_path: Path) -> bool",132,EXTRACTED,defines
function,forja_ar_blind.py,_cohen_kappa,"(votes_a: list[str], votes_b: list[str]) -> float | None",147,EXTRACTED,defines
function,forja_ar_blind.py,consolidate,"(blind_dir: Path, judgment_paths: list[Path], pair_id: str, *, key: bytes | None = <default>, workspace: Path = <default>) -> dict",159,EXTRACTED,defines
function,forja_ar_blind.py,main,(argv = <default>) -> int,251,EXTRACTED,defines
cli-command,forja_ar_blind.py,<global>,"--prepare, --consolidate, --pair-id, --runpair-dir, --blind-dir, --judgment",254,EXTRACTED,accepts_option
function,forja_ar_canarios.py,_sha,(path: Path) -> str,20,EXTRACTED,defines
function,forja_ar_canarios.py,_load,(path: Path) -> dict,24,EXTRACTED,defines
function,forja_ar_canarios.py,_adverse,"(indicator: str, base: dict, changed: dict) -> bool",28,EXTRACTED,defines
function,forja_ar_canarios.py,verificar_manifest,(manifest_path: Path) -> dict,36,EXTRACTED,defines
function,forja_ar_canarios.py,verificar,"(*, public_manifest: Path = <default>, secreto: bool = <default>) -> dict",95,EXTRACTED,defines
function,forja_ar_canarios.py,main,(argv = <default>) -> int,122,EXTRACTED,defines
cli-command,forja_ar_canarios.py,<global>,"--verificar, --secreto, --manifest",124,EXTRACTED,accepts_option
function,forja_ar_ciclo.py,_canonical,(value) -> bytes,34,EXTRACTED,defines
function,forja_ar_ciclo.py,_sha_bytes,(value: bytes) -> str,38,EXTRACTED,defines
function,forja_ar_ciclo.py,_sha_file,(path: Path) -> str,42,EXTRACTED,defines
function,forja_ar_ciclo.py,append_log,"(log_path: Path, ciclo: str, acao: str, inputs, resultado) -> dict",46,EXTRACTED,defines
function,forja_ar_ciclo.py,verify_log,(log_path: Path) -> list[str],71,EXTRACTED,defines
function,forja_ar_ciclo.py,snapshot,"(cycle_dir: Path, manifest_path: Path, *, corpus_path: Path | None = <default>, log_path: Path | None = <default>) -> Path",96,EXTRACTED,defines
function,forja_ar_ciclo.py,_load_required,"(path: Path | None, name: str, errors: list[str]) -> dict",129,EXTRACTED,defines
function,forja_ar_ciclo.py,consume_sealed,"(version: str, limit: int, evaluation: dict | None = <default>) -> tuple[bool, str]",140,EXTRACTED,defines
function,forja_ar_ciclo.py,promotion,"(cycle_dir: Path, manifest_path: Path, *, comparison_path: Path | None, canary_path: Path | None, judgment_path: Path | None, use_sealed: bool = <default>, variant_sha: str | None = <default>, sealed_eval_path: Path | None = <default>) -> dict",169,EXTRACTED,defines
function,forja_ar_ciclo.py,independent_review,"(decision_path: Path, opinion_path: Path, family: str, generator_family: str) -> dict",264,EXTRACTED,defines
function,forja_ar_ciclo.py,human_approve,"(decision_path: Path, receipt_path: Path) -> dict",282,EXTRACTED,defines
function,forja_ar_ciclo.py,cluster_interval,"(values_by_lineage: dict[str, list[float]], corpus_hash: str, samples: int = <default>) -> dict",309,EXTRACTED,defines
function,forja_ar_ciclo.py,relatorio,"(cycle_dir: Path, panel_path: Path, output_path: Path | None = <default>) -> Path",331,EXTRACTED,defines
function,forja_ar_ciclo.py,main,(argv = <default>) -> int,389,EXTRACTED,defines
cli-command,forja_ar_ciclo.py,<global>,,393,EXTRACTED,accepts_option
cli-command,forja_ar_ciclo.py,human-approve,"--decision, --receipt",413,EXTRACTED,accepts_option
cli-command,forja_ar_ciclo.py,independent-review,"--decision, --parecer, --familia, --familia-geradora",408,EXTRACTED,accepts_option
cli-command,forja_ar_ciclo.py,promotion,"--cycle-dir, --manifest, --comparison, --canary, --judgment, --no-sealed, --variant-sha, --sealed-eval",399,EXTRACTED,accepts_option
cli-command,forja_ar_ciclo.py,relatorio,"--cycle-dir, --panel, --output",416,EXTRACTED,accepts_option
cli-command,forja_ar_ciclo.py,snapshot,"--cycle-dir, --manifest, --corpus, --log",394,EXTRACTED,accepts_option
cli-command,forja_ar_ciclo.py,verify-log,--log,392,EXTRACTED,accepts_option
function,forja_ar_corpus.py,_read_json,"(path: Path, fallback = <default>)",23,EXTRACTED,defines
function,forja_ar_corpus.py,_sha256_file,(path: Path) -> str,30,EXTRACTED,defines
function,forja_ar_corpus.py,_canonical,(value) -> bytes,38,EXTRACTED,defines
function,forja_ar_corpus.py,secrets_dir,"(*, create: bool = <default>) -> Path",42,EXTRACTED,defines
function,forja_ar_corpus.py,load_hmac_key,"(*, create_dir: bool = <default>) -> bytes",56,EXTRACTED,defines
function,forja_ar_corpus.py,_fold,(value: str) -> str,70,EXTRACTED,defines
function,forja_ar_corpus.py,derivar_linhagem,"(case_id: str, case_folder: str = <default>, equivalencias: dict | None = <default>) -> str",75,EXTRACTED,defines
function,forja_ar_corpus.py,atribuir_split,"(lineage_id: str, key: bytes, split_config: dict | None = <default>) -> str",92,EXTRACTED,defines
function,forja_ar_corpus.py,_case_metadata,(case_dir: Path) -> dict,105,EXTRACTED,defines
function,forja_ar_corpus.py,_artifact_candidates,"(case_dir: Path) -> list[tuple[int, Path, str]]",134,EXTRACTED,defines
function,forja_ar_corpus.py,scan_corpus,"(state_dir: Path = <default>, *, manifest: dict | None = <default>, key: bytes | None = <default>, sealed_sink: list[dict] | None = <default>) -> dict",155,EXTRACTED,defines
function,forja_ar_corpus.py,register_sealed_inventory,"(items: list[dict], manifest: dict) -> Path",260,EXTRACTED,defines
function,forja_ar_corpus.py,check_corpus,"(corpus: dict, root: Path = <default>) -> list[str]",281,EXTRACTED,defines
function,forja_ar_corpus.py,report,(corpus: dict) -> dict,298,EXTRACTED,defines
function,forja_ar_corpus.py,main,(argv = <default>) -> int,313,EXTRACTED,defines
cli-command,forja_ar_corpus.py,<global>,"--scan, --check, --report, --state-dir, --manifest",316,EXTRACTED,accepts_option
function,forja_ar_evolucao.py,_sha_file,(path: Path) -> str,27,EXTRACTED,defines
function,forja_ar_evolucao.py,_load,(path: Path) -> dict,31,EXTRACTED,defines
function,forja_ar_evolucao.py,_save,"(path: Path, payload: dict) -> None",35,EXTRACTED,defines
function,forja_ar_evolucao.py,_manifest_path,(experimento: str) -> Path,40,EXTRACTED,defines
function,forja_ar_evolucao.py,init_experimento,"(experimento: str, alvo: Path, *, convergencia_ganho_min: float = <default>, convergencia_geracoes: int = <default>, top_k: int = <default>) -> dict",44,EXTRACTED,defines
function,forja_ar_evolucao.py,registrar_geracao,"(experimento: str, variantes: list[dict]) -> dict",70,EXTRACTED,defines
function,forja_ar_evolucao.py,selecionar_winner,"(experimento: str, geracao: int, resultados: list[dict]) -> dict",103,EXTRACTED,defines
function,forja_ar_evolucao.py,verificar_convergencia,(experimento: str) -> dict,150,EXTRACTED,defines
function,forja_ar_evolucao.py,main,(argv = <default>) -> int,169,EXTRACTED,defines
cli-command,forja_ar_evolucao.py,<global>,,173,EXTRACTED,accepts_option
cli-command,forja_ar_evolucao.py,convergencia,--experimento,183,EXTRACTED,accepts_option
cli-command,forja_ar_evolucao.py,init,"--experimento, --alvo",172,EXTRACTED,accepts_option
cli-command,forja_ar_evolucao.py,nova-geracao,"--experimento, --variantes",175,EXTRACTED,accepts_option
cli-command,forja_ar_evolucao.py,selecionar,"--experimento, --geracao, --resultados",178,EXTRACTED,accepts_option
function,forja_ar_indicadores.py,_canonical,(value) -> bytes,18,EXTRACTED,defines
function,forja_ar_indicadores.py,_sha,(value: bytes | str) -> str,22,EXTRACTED,defines
function,forja_ar_indicadores.py,_null,"(reason: str, evidence: list | None = <default>) -> dict",26,EXTRACTED,defines
function,forja_ar_indicadores.py,_entries,"(context: dict, name: str) -> list[dict] | None",30,EXTRACTED,defines
function,forja_ar_indicadores.py,_terms,"(item: dict, *keys: str) -> list[str]",37,EXTRACTED,defines
function,forja_ar_indicadores.py,_contains,"(text: str, terms: list[str]) -> bool",48,EXTRACTED,defines
function,forja_ar_indicadores.py,_sensor_versions,"() -> dict[str, str]",53,EXTRACTED,defines
function,forja_ar_indicadores.py,_i1,"(text: str, context: dict) -> dict",61,EXTRACTED,defines
function,forja_ar_indicadores.py,_i3,"(text: str, context: dict) -> dict",96,EXTRACTED,defines
function,forja_ar_indicadores.py,_i7,"(text: str, context: dict) -> dict",120,EXTRACTED,defines
function,forja_ar_indicadores.py,_i8,(context: dict) -> dict,140,EXTRACTED,defines
function,forja_ar_indicadores.py,computar_indicadores,"(md_texto: str, contexto: dict | None = <default>) -> dict",182,EXTRACTED,defines
function,forja_ar_indicadores.py,comparar,"(baseline: dict, variante: dict, manifest: dict | None = <default>) -> dict",244,EXTRACTED,defines
function,forja_ar_indicadores.py,cache_key,"(md_texto: str, contexto: dict, sensor_versions: dict | None = <default>) -> str",286,EXTRACTED,defines
function,forja_ar_indicadores.py,computar_com_cache,"(md_texto: str, contexto: dict, cache_dir: Path = <default>) -> tuple[dict, bool]",292,EXTRACTED,defines
function,forja_ar_indicadores.py,_load_ledgers,(directory: Path | None) -> dict,304,EXTRACTED,defines
function,forja_ar_indicadores.py,main,(argv = <default>) -> int,322,EXTRACTED,defines
cli-command,forja_ar_indicadores.py,<global>,"--md, --comparar, --caso, --painel, --ledgers, --split, --manifest",325,EXTRACTED,accepts_option
function,forja_ar_runpair.py,_sha,(path: Path) -> str,28,EXTRACTED,defines
function,forja_ar_runpair.py,_canonical,(value) -> bytes,32,EXTRACTED,defines
function,forja_ar_runpair.py,freeze_input,"(runpair_dir: Path, case_id: str, target: Path, *, claims_ledger: list | None = <default>, authorities_ledger: list | None = <default>, repetition: int = <default>) -> Path",36,EXTRACTED,defines
function,forja_ar_runpair.py,sanitize_instructions,(text: str) -> str,68,EXTRACTED,defines
function,forja_ar_runpair.py,register_manifest,"(runpair_dir: Path, side: str, manifest_path: Path) -> Path",79,EXTRACTED,defines
function,forja_ar_runpair.py,validate_pair,(runpair_dir: Path) -> dict,105,EXTRACTED,defines
function,forja_ar_runpair.py,_read_ledger,(path: Path | None) -> list,153,EXTRACTED,defines
function,forja_ar_runpair.py,main,(argv = <default>) -> int,162,EXTRACTED,defines
cli-command,forja_ar_runpair.py,<global>,"--freeze, --register, --validate, --runpair-dir, --caso, --alvo, --lado, --manifest, --claims-ledger, --authorities-ledger, --repeticao",165,EXTRACTED,accepts_option
function,forja_artefatos.py,ler,(caminho) -> dict,121,EXTRACTED,defines
function,forja_artefatos.py,nomes,"(especie: str, conceito: str) -> tuple",135,EXTRACTED,defines
function,forja_artefatos.py,campo,"(dados: dict, especie: str, conceito: str, padrao = <default>)",145,EXTRACTED,defines
function,forja_artefatos.py,lista,"(dados: dict, especie: str, conceito: str) -> list",160,EXTRACTED,defines
function,forja_artefatos.py,censo,(raiz = <default>) -> dict,170,EXTRACTED,defines
function,forja_artefatos.py,_relatar,(laudo: dict) -> None,204,EXTRACTED,defines
cli-command,forja_artefatos.py,<global>,--json,226,EXTRACTED,accepts_option
function,forja_assinatura_visual.py,_faixa,(paginas),48,EXTRACTED,defines
function,forja_assinatura_visual.py,paginas_reais,(docx),55,EXTRACTED,defines
function,forja_assinatura_visual.py,_tabelas,"(doc, todos_os_niveis = <default>)",108,EXTRACTED,defines
function,forja_assinatura_visual.py,_caixas,(doc),131,EXTRACTED,defines
function,forja_assinatura_visual.py,_figuras_exibidas,"(z, doc, nomes)",143,EXTRACTED,defines
function,forja_assinatura_visual.py,_inventario,(docx),181,EXTRACTED,defines
function,forja_assinatura_visual.py,avaliar,"(docx, paginas = <default>, tipo = <default>)",259,EXTRACTED,defines
function,forja_assinatura_visual.py,main,(),320,EXTRACTED,defines
cli-command,forja_assinatura_visual.py,<global>,"docx, --paginas, --tipo, --saida",322,EXTRACTED,accepts_option
function,forja_authorities.py,normalize_number,(value: str | None) -> str,80,EXTRACTED,defines
function,forja_authorities.py,tribunal_from_cnj,(value: str | None) -> str | None,84,EXTRACTED,defines
function,forja_authorities.py,authority_key,"(item: dict) -> tuple[str, str, str]",92,EXTRACTED,defines
function,forja_authorities.py,_context,"(text: str, start: int, end: int) -> str",116,EXTRACTED,defines
function,forja_authorities.py,_entry,"(*, tipo: str, classe: str, numero: str, corte: str, rotulo: str, dados: tuple, text: str, start: int, end: int, identity: dict | None = <default>) -> dict",120,EXTRACTED,defines
function,forja_authorities.py,extract_authorities,(text: str) -> list[dict],152,EXTRACTED,defines
class,forja_axi.py,AxiError,(RuntimeError),112,EXTRACTED,defines
method,forja_axi.py,AxiError.__init__,"(self, message: str, *, code: str = <default>, exit_code: int = <default>, help_commands: Sequence[str] = <default>) -> None",115,EXTRACTED,defines
class,forja_axi.py,AxiArgumentParser,(argparse.ArgumentParser),129,EXTRACTED,defines
method,forja_axi.py,AxiArgumentParser.__init__,"(self, *args: Any, **kwargs: Any) -> None",132,EXTRACTED,defines
method,forja_axi.py,AxiArgumentParser.error,"(self, message: str) -> None",136,EXTRACTED,defines
function,forja_axi.py,now_iso,() -> str,145,EXTRACTED,defines
function,forja_axi.py,compact_path,(path: Path) -> str,149,EXTRACTED,defines
function,forja_axi.py,_read_json,(path: Path) -> Any,157,EXTRACTED,defines
function,forja_axi.py,_case_files,(state_root: Path) -> list[Path],174,EXTRACTED,defines
function,forja_axi.py,_blocker_text,(blocker: Any) -> str,180,EXTRACTED,defines
function,forja_axi.py,_truncate,"(text: str, limit: int, *, full: bool) -> tuple[str, bool]",193,EXTRACTED,defines
function,forja_axi.py,_case_summary,"(path: Path, data: dict[str, Any]) -> dict[str, Any]",202,EXTRACTED,defines
function,forja_axi.py,_load_cases,"(state_root: Path) -> tuple[list[dict[str, Any]], list[str]]",239,EXTRACTED,defines
function,forja_axi.py,_select_fields,"(item: dict[str, Any], fields: Sequence[str]) -> dict[str, Any]",260,EXTRACTED,defines
function,forja_axi.py,_parse_fields,"(raw: str | None, allowed: Sequence[str], default: Sequence[str]) -> list[str]",266,EXTRACTED,defines
function,forja_axi.py,_queue_summary,"(queue: dict[str, Any]) -> dict[str, Any]",281,EXTRACTED,defines
function,forja_axi.py,home_payload,"(state_root: Path = <default>) -> dict[str, Any]",294,EXTRACTED,defines
function,forja_axi.py,cases_payload,"(state_root: Path = <default>, *, status: str | None = <default>, limit: int = <default>, fields: str | None = <default>, full: bool = <default>) -> dict[str, Any]",333,EXTRACTED,defines
function,forja_axi.py,_resolve_case_path,"(state_root: Path, case_id: str) -> Path",372,EXTRACTED,defines
function,forja_axi.py,case_payload,"(case_id: str, state_root: Path = <default>, *, fields: str | None = <default>, full: bool = <default>) -> dict[str, Any]",402,EXTRACTED,defines
function,forja_axi.py,_queue_item,"(item: dict[str, Any]) -> dict[str, Any]",443,EXTRACTED,defines
function,forja_axi.py,queue_payload,"(state_root: Path = <default>, *, section: str = <default>, limit: int = <default>, fields: str | None = <default>, full: bool = <default>) -> dict[str, Any]",456,EXTRACTED,defines
function,forja_axi.py,commands_payload,"(name: str | None = <default>) -> dict[str, Any]",517,EXTRACTED,defines
function,forja_axi.py,health_payload,"(state_root: Path = <default>) -> dict[str, Any]",552,EXTRACTED,defines
function,forja_axi.py,_needs_quote,"(value: str, delimiter: str = <default>) -> bool",594,EXTRACTED,defines
function,forja_axi.py,_toon_string,"(value: str, delimiter: str = <default>) -> str",608,EXTRACTED,defines
function,forja_axi.py,_toon_primitive,"(value: Any, delimiter: str = <default>) -> str",625,EXTRACTED,defines
function,forja_axi.py,_is_primitive,(value: Any) -> bool,643,EXTRACTED,defines
function,forja_axi.py,_uniform_primitive_rows,"(items: list[Any]) -> tuple[bool, list[str]]",647,EXTRACTED,defines
function,forja_axi.py,_encode_toon_value,"(key: str | None, value: Any, *, depth: int, lines: list[str]) -> None",659,EXTRACTED,defines
function,forja_axi.py,encode_toon,(value: Any) -> str,740,EXTRACTED,defines
function,forja_axi.py,render,"(payload: dict[str, Any], output_format: str) -> str",748,EXTRACTED,defines
function,forja_axi.py,_extract_output_format,"(argv: list[str]) -> tuple[list[str], str]",754,EXTRACTED,defines
function,forja_axi.py,build_parser,() -> AxiArgumentParser,785,EXTRACTED,defines
function,forja_axi.py,_dispatch,"(args: argparse.Namespace, state_root: Path) -> dict[str, Any]",829,EXTRACTED,defines
function,forja_axi.py,main,"(argv: Sequence[str] | None = <default>, *, state_root: Path = <default>, stdout: TextIO | None = <default>) -> int",867,EXTRACTED,defines
cli-command,forja_axi.py,<global>,--version,794,EXTRACTED,accepts_option
cli-command,forja_axi.py,case,"case_id, --fields, --full",805,EXTRACTED,accepts_option
cli-command,forja_axi.py,cases,"--status, --limit, --fields, --full",799,EXTRACTED,accepts_option
cli-command,forja_axi.py,commands,name,820,EXTRACTED,accepts_option
cli-command,forja_axi.py,health,,825,EXTRACTED,accepts_option
cli-command,forja_axi.py,home,,797,EXTRACTED,accepts_option
cli-command,forja_axi.py,queue,"--section, --limit, --fields, --full",810,EXTRACTED,accepts_option
function,forja_baseline.py,_run,"(args: list[str]) -> tuple[int, str]",91,EXTRACTED,defines
function,forja_baseline.py,_pytest,(nome: str) -> dict,101,EXTRACTED,defines
function,forja_baseline.py,_script,"(nome: str, papel: str) -> dict",116,EXTRACTED,defines
function,forja_baseline.py,_parece_script_autonomo,(nome: str) -> bool,128,EXTRACTED,defines
function,forja_baseline.py,_scripts_autonomos_nao_mapeados,() -> list[str],136,EXTRACTED,defines
function,forja_baseline.py,coletar,() -> list[str],144,EXTRACTED,defines
function,forja_baseline.py,executar,() -> dict,152,EXTRACTED,defines
function,forja_baseline.py,_imprimir,(relatorio: dict) -> None,183,EXTRACTED,defines
function,forja_baseline.py,main,() -> int,200,EXTRACTED,defines
cli-command,forja_baseline.py,<global>,"--json, --quiet",202,EXTRACTED,accepts_option
function,forja_baseline_aprovado.py,_resolver,(relativo: str) -> Path | None,74,EXTRACTED,defines
function,forja_baseline_aprovado.py,_medir,(caminho: Path) -> dict,82,EXTRACTED,defines
function,forja_baseline_aprovado.py,conferir,() -> dict,97,EXTRACTED,defines
function,forja_baseline_aprovado.py,gravar,(motivo: str) -> dict,138,EXTRACTED,defines
cli-command,forja_baseline_aprovado.py,<global>,--gravar,159,EXTRACTED,accepts_option
class,forja_bench_modelos.py,Prova,(),60,EXTRACTED,defines
function,forja_bench_modelos.py,_norm,(texto: str) -> str,129,EXTRACTED,defines
function,forja_bench_modelos.py,gabarito,(prova: Prova) -> str,138,EXTRACTED,defines
function,forja_bench_modelos.py,_sinal_afirmado,"(texto: str, sinal: str) -> bool",145,EXTRACTED,defines
function,forja_bench_modelos.py,avaliar,"(prova: Prova, resposta: str) -> dict",170,EXTRACTED,defines
function,forja_bench_modelos.py,_resumir,"(resultados: list[dict]) -> dict[str, dict]",209,EXTRACTED,defines
function,forja_bench_modelos.py,rodar,"(modelos: list[str], *, teto_usd: float = <default>, max_tokens: int = <default>, condicoes: tuple[str, ...] = <default>) -> dict",224,EXTRACTED,defines
function,forja_bench_modelos.py,reavaliar,(caminho: Path) -> dict,268,EXTRACTED,defines
function,forja_bench_modelos.py,_imprimir,(relatorio: dict) -> None,300,EXTRACTED,defines
function,forja_bench_modelos.py,main,() -> None,318,EXTRACTED,defines
cli-command,forja_bench_modelos.py,<global>,,322,EXTRACTED,accepts_option
cli-command,forja_bench_modelos.py,reavaliar,--arquivo,327,EXTRACTED,accepts_option
cli-command,forja_bench_modelos.py,rodar,"--modelos, --teto-usd, --condicoes",321,EXTRACTED,accepts_option
cli-command,forja_bench_modelos.py,ver,--arquivo,325,EXTRACTED,accepts_option
function,forja_calibra_gates_economicos.py,relevante,(caminho: Path) -> bool,59,EXTRACTED,defines
function,forja_calibra_gates_economicos.py,main,(argv: list[str]) -> int,69,EXTRACTED,defines
function,forja_calibra_monetario.py,_texto,(caminho),56,EXTRACTED,defines
function,forja_calibra_monetario.py,ocorrencias_ampla,(texto),63,EXTRACTED,defines
function,forja_calibra_monetario.py,economico_estreito,(texto),75,EXTRACTED,defines
function,forja_calibra_monetario.py,economico_amplo,(texto),80,EXTRACTED,defines
function,forja_calibra_monetario.py,varrer,"(raiz, extensoes = <default>, limite_bytes = <default>)",84,EXTRACTED,defines
function,forja_calibra_monetario.py,calibrar,"(raiz, amostra = <default>)",100,EXTRACTED,defines
function,forja_calibra_monetario.py,_amostrar_contexto,"(texto, n)",152,EXTRACTED,defines
function,forja_calibra_monetario.py,main,(),166,EXTRACTED,defines
